               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.06787,           0.0089259,            0.020683,              0.8355,             0.33331,              0.3867,             0.23541,            0.058311,           0.0071423,            0.020127,           0.0087922,           0.0087922,           0.0087922
                  63,            0.067297,           0.0090098,            0.021041,             0.84228,             0.35932,              0.3933,             0.24033,            0.058147,            0.007151,            0.019688,           0.0087724,           0.0087724,           0.0087724
                  64,            0.068394,           0.0090956,            0.021122,             0.84197,             0.35389,             0.41009,             0.25515,            0.057962,            0.007109,            0.019569,           0.0087526,           0.0087526,           0.0087526
                  65,            0.068292,           0.0088346,            0.020547,             0.85799,             0.36239,             0.40605,             0.24909,            0.057858,           0.0070812,            0.019399,           0.0087328,           0.0087328,           0.0087328
                  66,            0.066822,           0.0089287,            0.020442,             0.84879,             0.36727,             0.41565,             0.25362,            0.057815,           0.0070763,             0.01917,            0.008713,            0.008713,            0.008713
                  67,            0.068071,           0.0091185,            0.021139,             0.85333,             0.35319,             0.40507,             0.24664,            0.057971,           0.0070941,             0.01927,           0.0086932,           0.0086932,           0.0086932
                  68,            0.067395,           0.0085733,            0.020133,             0.84544,             0.36212,             0.41867,             0.26227,            0.057759,           0.0070806,            0.019289,           0.0086734,           0.0086734,           0.0086734
                  69,             0.06972,           0.0091327,            0.021405,             0.85927,             0.36252,             0.42011,             0.26072,            0.057662,           0.0070807,            0.019259,           0.0086536,           0.0086536,           0.0086536
                  70,            0.068454,             0.00936,            0.020309,             0.85052,             0.36521,             0.42139,             0.26403,            0.057621,           0.0070764,            0.019222,           0.0086338,           0.0086338,           0.0086338
                  71,            0.066912,           0.0089507,            0.021028,             0.86232,             0.35872,             0.41814,             0.25953,            0.057626,           0.0070705,            0.019206,            0.008614,            0.008614,            0.008614
                  72,             0.06819,           0.0088257,            0.020142,             0.86293,             0.36273,             0.42473,             0.26673,            0.057349,           0.0070581,            0.018848,           0.0085942,           0.0085942,           0.0085942
                  73,             0.06603,           0.0087803,             0.01941,             0.85585,             0.37955,             0.44992,             0.28443,            0.057376,           0.0070298,            0.018661,           0.0085744,           0.0085744,           0.0085744
                  74,            0.065797,           0.0087092,            0.019755,             0.83728,             0.38388,             0.43783,             0.27588,            0.057352,           0.0070118,            0.018609,           0.0085546,           0.0085546,           0.0085546
                  75,            0.067613,           0.0088805,            0.019267,             0.86788,             0.37759,             0.43116,             0.27169,             0.05736,            0.007056,            0.018548,           0.0085348,           0.0085348,           0.0085348
                  76,            0.067122,           0.0090375,            0.019712,             0.86444,             0.36896,             0.43124,             0.26881,             0.05716,           0.0070449,            0.018459,            0.008515,            0.008515,            0.008515
                  77,            0.067544,           0.0090675,            0.019706,             0.87754,             0.37851,             0.44338,             0.27677,            0.057071,           0.0070059,             0.01833,           0.0084952,           0.0084952,           0.0084952
                  78,            0.066455,           0.0087331,            0.019555,             0.89127,              0.3682,             0.44064,             0.27246,            0.057093,           0.0070112,            0.018292,           0.0084754,           0.0084754,           0.0084754
                  79,            0.066328,           0.0087546,            0.018273,             0.87657,             0.38081,             0.44652,              0.2785,            0.057054,            0.007017,            0.018193,           0.0084556,           0.0084556,           0.0084556
                  80,            0.067096,           0.0090656,            0.018875,             0.87066,             0.37827,             0.43414,             0.27202,            0.057126,           0.0070014,            0.018185,           0.0084358,           0.0084358,           0.0084358
                  81,            0.067555,            0.008915,            0.019149,             0.89186,             0.36646,             0.43797,             0.27308,            0.057007,           0.0069969,            0.018249,            0.008416,            0.008416,            0.008416
                  82,            0.066784,           0.0089069,            0.019028,             0.88778,             0.37847,             0.45104,             0.28217,            0.056851,           0.0070018,            0.018027,           0.0083962,           0.0083962,           0.0083962
                  83,            0.066798,           0.0090431,            0.018405,             0.88272,             0.38119,             0.45299,             0.28755,             0.05686,           0.0069811,            0.018121,           0.0083764,           0.0083764,           0.0083764
                  84,            0.065425,           0.0087695,            0.018117,             0.82079,              0.4205,             0.45731,             0.28822,            0.056811,           0.0069452,            0.017894,           0.0083566,           0.0083566,           0.0083566
                  85,            0.067013,           0.0089779,            0.018137,              0.8811,             0.38787,             0.46514,             0.29005,            0.056761,           0.0069472,            0.017781,           0.0083368,           0.0083368,           0.0083368
                  86,            0.066487,            0.008773,            0.017959,             0.84925,             0.40582,             0.45852,             0.28551,            0.056706,           0.0069611,            0.017884,            0.008317,            0.008317,            0.008317
                  87,            0.064803,           0.0087478,             0.01832,             0.86257,             0.39575,             0.45449,             0.28606,            0.056665,           0.0069358,            0.017945,           0.0082972,           0.0082972,           0.0082972
                  88,            0.065584,           0.0085718,             0.01857,             0.87735,             0.38918,             0.46226,             0.28875,            0.056748,           0.0069649,            0.017843,           0.0082774,           0.0082774,           0.0082774
                  89,            0.066563,           0.0088928,             0.01814,             0.87272,             0.40656,             0.47329,              0.3009,            0.056492,           0.0069299,            0.017443,           0.0082576,           0.0082576,           0.0082576
                  90,            0.065499,           0.0087828,            0.017943,             0.87523,             0.40379,             0.47727,             0.30557,            0.056505,           0.0069088,            0.017412,           0.0082378,           0.0082378,           0.0082378
                  91,            0.066115,           0.0086477,            0.018189,             0.89536,             0.39191,             0.47088,             0.29481,            0.056445,            0.006911,            0.017307,            0.008218,            0.008218,            0.008218
                  92,            0.066464,           0.0089814,            0.018042,             0.88837,             0.39904,             0.47103,             0.29609,            0.056327,           0.0069062,            0.017239,           0.0081982,           0.0081982,           0.0081982
                  93,            0.065463,           0.0087213,            0.017521,             0.88688,             0.40223,              0.4719,             0.29878,            0.056237,           0.0069226,            0.017072,           0.0081784,           0.0081784,           0.0081784
                  94,            0.065737,           0.0084762,            0.017228,             0.89744,             0.40134,             0.48139,             0.30339,            0.056186,           0.0068992,            0.017034,           0.0081586,           0.0081586,           0.0081586
                  95,            0.065667,           0.0084546,            0.017456,             0.88113,               0.402,             0.48033,             0.30421,            0.056196,           0.0068845,            0.016893,           0.0081388,           0.0081388,           0.0081388
                  96,            0.064447,           0.0087693,            0.017093,             0.90062,             0.39538,             0.47876,             0.30285,            0.056153,           0.0068887,            0.016946,            0.008119,            0.008119,            0.008119
                  97,            0.065963,           0.0087621,            0.017255,             0.85352,             0.43939,             0.48951,             0.31087,            0.056198,           0.0068938,            0.016827,           0.0080992,           0.0080992,           0.0080992
                  98,             0.06577,           0.0090581,            0.017319,             0.87968,             0.42127,              0.4828,             0.30591,            0.056097,           0.0068884,            0.016753,           0.0080794,           0.0080794,           0.0080794
                  99,              0.0658,           0.0088449,              0.0174,             0.89856,              0.4202,              0.4881,             0.30925,            0.055933,           0.0068903,            0.016645,           0.0080596,           0.0080596,           0.0080596
                 100,            0.066179,           0.0088194,            0.018282,             0.88829,              0.4089,             0.48837,             0.31062,            0.055859,           0.0069046,            0.016631,           0.0080398,           0.0080398,           0.0080398
                 101,            0.066025,           0.0085595,            0.017781,             0.88773,             0.40687,             0.49489,             0.31413,             0.05587,           0.0069135,            0.016766,             0.00802,             0.00802,             0.00802
                 102,            0.066238,           0.0086045,            0.017634,              0.8983,             0.41181,             0.49119,             0.31216,            0.055878,           0.0068782,            0.016664,           0.0080002,           0.0080002,           0.0080002
                 103,             0.06565,           0.0089162,            0.016852,             0.89768,             0.41131,               0.492,             0.31217,             0.05585,           0.0068842,            0.016742,           0.0079804,           0.0079804,           0.0079804
                 104,            0.066209,           0.0088942,            0.017961,             0.88178,             0.43383,              0.5038,             0.32131,            0.055817,           0.0068617,            0.016716,           0.0079606,           0.0079606,           0.0079606
                 105,            0.065495,           0.0086346,            0.016838,             0.88679,             0.42481,             0.50342,             0.32208,            0.055805,           0.0068588,            0.016818,           0.0079408,           0.0079408,           0.0079408
                 106,            0.063742,           0.0086041,            0.017528,             0.89169,              0.4226,             0.50123,              0.3188,            0.055739,           0.0068476,            0.016795,            0.007921,            0.007921,            0.007921
